"Unless indicated otherwise, individual judge's scores in the charts below (given in round brackets) are listed in this order from left to right: Craig Revel Horwood, Darcey Bussell, Shirley Ballas, Bruno Tonioli.",,,,
,,,,
Launch show,,,,
,,,,
"Musical guests: Nile Rodgers & Chic feat. Craig David & Stefflon Don—""Sober""[12]",,,,
,,,,
Week 1,,,,
,,,,
Running order,,,,
,,,,
Ballas: Charles & Karen,,,,
,,,,
Week 8,,,,
,,,,
"Musical guests: RAF Spitfires Choir—""Rise Up"";[28][29] Andrea and Matteo Bocelli—""Fall on Me""[30]",,,,
,,,,
Running order,,,,
,,,,
Couple,Score[31],Dance[32],Music[32],Result
Kate & Aljaž,"30 (7,7,8,8)",Quickstep,"""I Want You to Want Me""—Letters to Cleo",Safe
Danny & Amy,"27 (6,7,7,7)",Samba,"""Feels Like Home""—Sigala feat. Fuse ODG, Sean Paul & Kent Jones",Eliminated
Ashley & Pasha,"39 (9,10,10,10)",Contemporary,"""Unsteady""—X Ambassadors",Safe
Graeme & Oti,"31 (7,8,8,8)",Salsa,"""Follow the Leader""—The Soca Boys",Bottom two
Faye & Giovanni,"36 (9,9,8,10)",Jive,"""Reet Petite""—Jackie Wilson",Safe
Stacey & Kevin,"32 (8,8,8,8)",Waltz,"""Moon River""—Audrey Hepburn",Safe
Joe & Dianne,"32 (7,8,8,9)",Samba,"""MMMBop""—Hanson",Safe
Lauren & AJ,"34 (8,8,9,9)",Viennese Waltz,"""You Are the Reason""—Calum Scott feat. Leona Lewis",Safe
Charles & Karen,"35 (8,9,9,9)",Charleston,"""No Diggity""—Minimatic",Safe
,,,,
Judges' votes to save,,,,
,,,,
Revel Horwood: Danny & Amy,,,,
Bussell: Graeme & Oti,,,,
Tonioli: Graeme & Oti,,,,
Ballas: Graeme & Oti,,,,
,,,,
Week 9: Blackpool Week,,,,
,,,,
"Musical guests: Gloria Estefan—""Dr. Beat""/""Conga""/""Rhythm Is Gonna Get You""/""1–2–3""/""Get on Your Feet medley"";[33] Take That—""Out of Our Heads""[34][35]",,,,
,,,,
Running order,,,,
,,,,
Couple,Score[36],Dance[37],Music[37],Result
Stacey & Kevin,"33 (7,8,9,9)",Salsa,"""Ooh Aah... Just a Little Bit""—Gina G",Safe
Lauren & AJ,"25 (5,6,7,7)",Argentine Tango,"""River""—Bishop Briggs",Safe
Graeme & Oti,"32 (7,8,8,9)",Jazz,"""The Trolley Song""—from Meet Me in St. Louis",Bottom two
Faye & Giovanni,"38 (9,9,10,10)",Paso Doble,"""Unstoppable""—E.S. Posthumus",Safe
Kate & Aljaž,"30 (7,7,8,8)",American Smooth,"""Everlasting Love""—Love Affair",Eliminated
Charles & Karen,"38 (9,9,10,10)",Samba,"""La Bamba""—Connie Francis",Safe
Joe & Dianne,"38 (8,10,10,10)",Quickstep,"""Dancin' Fool""—from Copacabana",Safe
Ashley & Pasha,"40 (10,10,10,10)",Jive,"""Shake a Tail Feather""—from The Blues Brothers",Safe
,,,,
Judges' votes to save,,,,
,,,,
Revel Horwood: Graeme & Oti,,,,
Bussell: Graeme & Oti,,,,
Tonioli: Graeme & Oti,,,,
"Ballas: Did not vote, but would have voted to save Graeme & Oti",,,,
,,,,
Week 10,,,,
,,,,
"Musical guest: Rod Stewart—""Farewell""[38]",,,,
,,,,
Running order,,,,
,,,,
Couple,Score[39],Dance[40],Music[40],Result
Graeme & Oti,"24 (6,6,6,6)",Quickstep,"""Sing, Sing, Sing (With a Swing)""—The Andrews Sisters",Eliminated
Ashley & Pasha,"36 (8,9,9,10)",Samba,"""Hot Hot Hot""—Arrow",Bottom two
